Movie_Title,Genre,Actor,Actress,Director,Language,Year,Rating,Duration (min),Title
Movie 1,Fantasy,Scarlett Johansson,Jennifer Lawrence,Quentin Tarantino,German,1992,4.7,106,Voices from the Past
Movie 2,Horror,Brad Pitt,Anne Hathaway,James Cameron,French,2021,1.3,144,The Silent Voyage
Movie 3,Fantasy,Robert Downey Jr.,Angelina Jolie,Christopher Nolan,Japanese,1993,8.3,127,The Crimson Legacy
Movie 4,Comedy,Brad Pitt,Angelina Jolie,Quentin Tarantino,Japanese,1981,3.5,97,Chaos and Calm
Movie 5,Drama,Leonardo DiCaprio,Margot Robbie,Steven Spielberg,Japanese,2001,2.6,156,The Golden Empire
Movie 6,Sci-Fi,Emma Watson,Angelina Jolie,James Cameron,Spanish,2008,6.7,142,Reign of Shadows
Movie 7,Comedy,Robert Downey Jr.,Natalie Portman,James Cameron,German,2014,5.4,126,The Silent Voyage
Movie 8,Romance,Tom Hanks,Emma Stone,James Cameron,English,2007,7.4,167,Dreams of Tomorrow
Movie 9,Sci-Fi,Brad Pitt,Anne Hathaway,Christopher Nolan,English,1986,5.1,173,The Forgotten Realm
Movie 10,Action,Scarlett Johansson,Natalie Portman,Martin Scorsese,German,1994,1.7,101,Echoes of Destiny
Movie 11,Fantasy,Robert Downey Jr.,Jennifer Lawrence,Steven Spielberg,English,1987,3.4,109,Echoes of Destiny
Movie 12,Thriller,Tom Hanks,Margot Robbie,Steven Spielberg,Japanese,2010,2.0,103,Voices from the Past
Movie 13,Action,Emma Watson,Emma Stone,James Cameron,English,2004,10.0,175,Rise of Legends
Movie 14,Drama,Brad Pitt,Natalie Portman,James Cameron,Japanese,2013,6.8,121,Whispers in the Dark
Movie 15,Comedy,Leonardo DiCaprio,Margot Robbie,Steven Spielberg,French,1987,9.8,146,The Silent Voyage
Movie 16,Comedy,Robert Downey Jr.,Angelina Jolie,Steven Spielberg,Spanish,1994,6.8,154,Rise of Legends
Movie 17,Comedy,Robert Downey Jr.,Jennifer Lawrence,Quentin Tarantino,English,2006,3.0,144,The Crimson Legacy
Movie 18,Fantasy,Leonardo DiCaprio,Margot Robbie,Christopher Nolan,English,1981,2.2,162,Beyond the Mist
Movie 19,Action,Tom Hanks,Margot Robbie,Christopher Nolan,French,1999,9.8,141,The Final Hour
Movie 20,Romance,Leonardo DiCaprio,Emma Stone,James Cameron,English,2011,4.2,136,Reign of Shadows
Movie 21,Sci-Fi,Leonardo DiCaprio,Emma Stone,James Cameron,Japanese,1984,2.3,154,The Golden Empire
